Permission,Tag
android.permission.ACCESS_BACKGROUND_LOCATION,LOC
android.permission.ACCESS_COARSE_LOCATION,LOC
android.permission.ACCESS_FINE_LOCATION,LOC
android.permission.ACCESS_MEDIA_LOCATION,LOC
android.permission.ACTIVITY_RECOGNITION,DEV_ATTR
android.permission.ANSWER_PHONE_CALLS,CALL
android.permission.BLUETOOTH_CONNECT,DEV_ATTR
android.permission.BLUETOOTH_SCAN,LOC
android.permission.BODY_SENSORS,DEV_ATTR
android.permission.BODY_SENSORS_BACKGROUND,DEV_ATTR
android.permission.CALL_COMPANION_APP,CALL
android.permission.CALL_PHONE,CALL
android.permission.CAMERA,CAM
android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,ACC
android.permission.CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS,ACC
android.permission.CREDENTIAL_MANAGER_SET_ORIGIN,ACC
android.permission.DELIVER_COMPANION_MESSAGES,DEV_ATTR
android.permission.GET_ACCOUNTS,ACC
